% SZS status Theorem for Problems/HL400001+1.p
% SZS status Theorem for Problems/HL400023+1.p
% SZS status Theorem for Problems/HL400048+1.p
% SZS status Theorem for Problems/HL400058+1.p
% SZS status Theorem for Problems/HL400079+1.p
% SZS status Theorem for Problems/HL400088+1.p
% SZS status Theorem for Problems/HL400102+1.p
Metis timed out on Problems/HL400133+1.p
% SZS status Theorem for Problems/HL400134+1.p
Metis timed out on Problems/HL400137+1.p
% SZS status Theorem for Problems/HL400143+1.p
% SZS status Theorem for Problems/HL400164+1.p
% SZS status Theorem for Problems/HL400177+1.p
% SZS status Theorem for Problems/HL400180+1.p
% SZS status Theorem for Problems/HL400200+1.p
% SZS status Theorem for Problems/HL400220+1.p
% SZS status Theorem for Problems/HL400221+1.p
% SZS status Theorem for Problems/HL400226+1.p
% SZS status Theorem for Problems/HL400230+1.p
% SZS status Theorem for Problems/HL400232+1.p
Metis timed out on Problems/HL400243+1.p
% SZS status Theorem for Problems/HL400255+1.p
Metis timed out on Problems/HL400268+1.p
Metis timed out on Problems/HL400284+1.p
Metis timed out on Problems/HL400290+1.p
Metis timed out on Problems/HL400295+1.p
Metis timed out on Problems/HL400322+1.p
Metis timed out on Problems/HL400341+1.p
Metis timed out on Problems/HL400349+1.p
Metis timed out on Problems/HL400354+1.p
% SZS status Theorem for Problems/HL400357+1.p
% SZS status Theorem for Problems/HL400365+1.p
% SZS status Unknown for Problems/HL400371+1.p Metis timed out on Problems/HL400371+1.p
Metis timed out on Problems/HL400384+1.p
Metis timed out on Problems/HL400407+1.p
Metis timed out on Problems/HL400413+1.p
Metis timed out on Problems/HL400433+1.p
% SZS status Theorem for Problems/HL400441+1.p
Metis timed out on Problems/HL400450+1.p
Metis timed out on Problems/HL400476+1.p
Metis timed out on Problems/HL400477+1.p
Metis timed out on Problems/HL400495+1.p
% SZS status Theorem for Problems/HL400497+1.p
% SZS status Theorem for Problems/HL400498+1.p
% SZS status Theorem for Problems/HL400502+1.p
% SZS status Theorem for Problems/HL400527+1.p
Metis timed out on Problems/HL400539+1.p
